+----+---------+--------+
|    |   count |   xpos |
|  9 |     238 |    9.5 |
| 10 |     248 |   10.5 |
| 11 |     236 |   11.5 |
| 12 |     269 |   12.5 |
| 13 |     203 |   13.5 |
| 14 |     161 |   14.5 |
| 15 |     146 |   15.5 |
| 16 |     180 |   16.5 |
| 17 |     180 |   17.5 |
| 18 |     191 |   18.5 |
| 19 |     131 |   19.5 |
| 20 |     169 |   20.5 |
| 21 |     169 |   21.5 |
| 22 |     181 |   22.5 |
| 23 |     170 |   23.5 |
| 24 |     186 |   24.5 |
| 25 |     161 |   25.5 |
| 26 |     148 |   26.5 |
| 27 |     157 |   27.5 |
| 28 |     136 |   28.5 |
| 29 |     176 |   29.5 |
| 30 |     155 |   30.5 |
| 31 |     157 |   31.5 |
| 32 |     191 |   32.5 |
| 33 |     172 |   33.5 |
| 34 |     143 |   34.5 |
| 35 |     150 |   35.5 |
| 36 |     149 |   36.5 |
| 37 |     142 |   37.5 |
| 38 |     150 |   38.5 |
| 39 |     140 |   39.5 |
| 40 |     159 |   40.5 |
| 41 |     136 |   41.5 |
| 42 |     174 |   42.5 |
| 43 |     160 |   43.5 |
| 44 |     140 |   44.5 |
| 45 |     136 |   45.5 |
| 46 |     146 |   46.5 |
| 47 |     131 |   47.5 |
| 48 |     150 |   48.5 |
| 49 |     156 |   49.5 |
| 50 |     170 |   50.5 |
| 51 |     146 |   51.5 |
| 52 |     146 |   52.5 |
| 53 |     145 |   53.5 |
| 54 |     139 |   54.5 |
| 55 |     147 |   55.5 |
| 56 |     141 |   56.5 |
| 57 |     133 |   57.5 |
| 58 |     151 |   58.5 |
| 59 |     153 |   59.5 |
| 60 |     169 |   60.5 |
| 61 |     136 |   61.5 |
| 62 |     146 |   62.5 |
| 63 |     126 |   63.5 |
| 64 |     134 |   64.5 |
| 65 |     134 |   65.5 |
| 66 |     131 |   66.5 |
| 67 |     166 |   67.5 |
| 68 |     139 |   68.5 |
| 69 |     134 |   69.5 |
| 70 |     143 |   70.5 |
| 71 |     126 |   71.5 |
| 72 |     146 |   72.5 |
| 73 |     121 |   73.5 |
| 74 |     124 |   74.5 |
| 75 |     150 |   75.5 |
| 76 |     129 |   76.5 |
| 77 |     110 |   77.5 |
| 78 |     139 |   78.5 |
| 79 |     155 |   79.5 |
| 80 |     135 |   80.5 |
| 81 |     134 |   81.5 |
| 82 |     164 |   82.5 |
| 83 |     143 |   83.5 |
| 84 |     135 |   84.5 |
| 85 |     141 |   85.5 |
| 86 |     133 |   86.5 |
| 87 |     137 |   87.5 |
| 88 |     151 |   88.5 |
| 89 |     109 |   89.5 |
| 90 |     126 |   90.5 |
| 91 |     143 |   91.5 |
| 92 |     134 |   92.5 |
| 93 |     115 |   93.5 |
| 94 |     115 |   94.5 |
| 95 |     102 |   95.5 |
| 96 |      71 |   96.5 |
| 97 |      65 |   97.5 |
| 98 |      35 |   98.5 |
| 99 |      10 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |     263 |    9.5 |
| 10 |     256 |   10.5 |
| 11 |     255 |   11.5 |
| 12 |     261 |   12.5 |
| 13 |     208 |   13.5 |
| 14 |     172 |   14.5 |
| 15 |     165 |   15.5 |
| 16 |     140 |   16.5 |
| 17 |     179 |   17.5 |
| 18 |     210 |   18.5 |
| 19 |     143 |   19.5 |
| 20 |     163 |   20.5 |
| 21 |     145 |   21.5 |
| 22 |     160 |   22.5 |
| 23 |     171 |   23.5 |
| 24 |     192 |   24.5 |
| 25 |     123 |   25.5 |
| 26 |     154 |   26.5 |
| 27 |     163 |   27.5 |
| 28 |     181 |   28.5 |
| 29 |     149 |   29.5 |
| 30 |     152 |   30.5 |
| 31 |     173 |   31.5 |
| 32 |     175 |   32.5 |
| 33 |     121 |   33.5 |
| 34 |     134 |   34.5 |
| 35 |     116 |   35.5 |
| 36 |     180 |   36.5 |
| 37 |     143 |   37.5 |
| 38 |     145 |   38.5 |
| 39 |     150 |   39.5 |
| 40 |     153 |   40.5 |
| 41 |     155 |   41.5 |
| 42 |     154 |   42.5 |
| 43 |     149 |   43.5 |
| 44 |     140 |   44.5 |
| 45 |     126 |   45.5 |
| 46 |     136 |   46.5 |
| 47 |     168 |   47.5 |
| 48 |     152 |   48.5 |
| 49 |     148 |   49.5 |
| 50 |     170 |   50.5 |
| 51 |     150 |   51.5 |
| 52 |     146 |   52.5 |
| 53 |     148 |   53.5 |
| 54 |     156 |   54.5 |
| 55 |     142 |   55.5 |
| 56 |     143 |   56.5 |
| 57 |     129 |   57.5 |
| 58 |     117 |   58.5 |
| 59 |     158 |   59.5 |
| 60 |     143 |   60.5 |
| 61 |     157 |   61.5 |
| 62 |     136 |   62.5 |
| 63 |     137 |   63.5 |
| 64 |     180 |   64.5 |
| 65 |     126 |   65.5 |
| 66 |     124 |   66.5 |
| 67 |     159 |   67.5 |
| 68 |     151 |   68.5 |
| 69 |     153 |   69.5 |
| 70 |     122 |   70.5 |
| 71 |     122 |   71.5 |
| 72 |     132 |   72.5 |
| 73 |     145 |   73.5 |
| 74 |     121 |   74.5 |
| 75 |     144 |   75.5 |
| 76 |     143 |   76.5 |
| 77 |     140 |   77.5 |
| 78 |     154 |   78.5 |
| 79 |     158 |   79.5 |
| 80 |     136 |   80.5 |
| 81 |     120 |   81.5 |
| 82 |     127 |   82.5 |
| 83 |     127 |   83.5 |
| 84 |     123 |   84.5 |
| 85 |     139 |   85.5 |
| 86 |     134 |   86.5 |
| 87 |     128 |   87.5 |
| 88 |     129 |   88.5 |
| 89 |     136 |   89.5 |
| 90 |     141 |   90.5 |
| 91 |     151 |   91.5 |
| 92 |     104 |   92.5 |
| 93 |     131 |   93.5 |
| 94 |     106 |   94.5 |
| 95 |     108 |   95.5 |
| 96 |      63 |   96.5 |
| 97 |      40 |   97.5 |
| 98 |      39 |   98.5 |
| 99 |      11 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |     264 |    9.5 |
| 10 |     273 |   10.5 |
| 11 |     225 |   11.5 |
| 12 |     249 |   12.5 |
| 13 |     208 |   13.5 |
| 14 |     154 |   14.5 |
| 15 |     158 |   15.5 |
| 16 |     153 |   16.5 |
| 17 |     155 |   17.5 |
| 18 |     195 |   18.5 |
| 19 |     140 |   19.5 |
| 20 |     144 |   20.5 |
| 21 |     157 |   21.5 |
| 22 |     188 |   22.5 |
| 23 |     172 |   23.5 |
| 24 |     166 |   24.5 |
| 25 |     172 |   25.5 |
| 26 |     134 |   26.5 |
| 27 |     151 |   27.5 |
| 28 |     149 |   28.5 |
| 29 |     139 |   29.5 |
| 30 |     169 |   30.5 |
| 31 |     168 |   31.5 |
| 32 |     163 |   32.5 |
| 33 |     131 |   33.5 |
| 34 |     149 |   34.5 |
| 35 |     158 |   35.5 |
| 36 |     130 |   36.5 |
| 37 |     155 |   37.5 |
| 38 |     148 |   38.5 |
| 39 |     148 |   39.5 |
| 40 |     147 |   40.5 |
| 41 |     159 |   41.5 |
| 42 |     146 |   42.5 |
| 43 |     151 |   43.5 |
| 44 |     132 |   44.5 |
| 45 |     151 |   45.5 |
| 46 |     150 |   46.5 |
| 47 |     153 |   47.5 |
| 48 |     139 |   48.5 |
| 49 |     159 |   49.5 |
| 50 |     143 |   50.5 |
| 51 |     155 |   51.5 |
| 52 |     139 |   52.5 |
| 53 |     140 |   53.5 |
| 54 |     151 |   54.5 |
| 55 |     152 |   55.5 |
| 56 |     133 |   56.5 |
| 57 |     169 |   57.5 |
| 58 |     166 |   58.5 |
| 59 |     152 |   59.5 |
| 60 |     145 |   60.5 |
| 61 |     126 |   61.5 |
| 62 |     146 |   62.5 |
| 63 |     135 |   63.5 |
| 64 |     139 |   64.5 |
| 65 |     151 |   65.5 |
| 66 |     162 |   66.5 |
| 67 |     126 |   67.5 |
| 68 |     130 |   68.5 |
| 69 |     146 |   69.5 |
| 70 |     138 |   70.5 |
| 71 |     120 |   71.5 |
| 72 |     133 |   72.5 |
| 73 |     124 |   73.5 |
| 74 |     136 |   74.5 |
| 75 |     139 |   75.5 |
| 76 |     149 |   76.5 |
| 77 |     120 |   77.5 |
| 78 |     138 |   78.5 |
| 79 |     138 |   79.5 |
| 80 |     126 |   80.5 |
| 81 |     156 |   81.5 |
| 82 |     164 |   82.5 |
| 83 |     136 |   83.5 |
| 84 |     129 |   84.5 |
| 85 |     136 |   85.5 |
| 86 |     143 |   86.5 |
| 87 |     154 |   87.5 |
| 88 |     130 |   88.5 |
| 89 |     150 |   89.5 |
| 90 |     136 |   90.5 |
| 91 |     134 |   91.5 |
| 92 |     127 |   92.5 |
| 93 |     129 |   93.5 |
| 94 |     115 |   94.5 |
| 95 |     100 |   95.5 |
| 96 |      81 |   96.5 |
| 97 |      60 |   97.5 |
| 98 |      47 |   98.5 |
| 99 |       7 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |       0 |    9.5 |
| 10 |       0 |   10.5 |
| 11 |       0 |   11.5 |
| 12 |       0 |   12.5 |
| 13 |       0 |   13.5 |
| 14 |       0 |   14.5 |
| 15 |       0 |   15.5 |
| 16 |       0 |   16.5 |
| 17 |       0 |   17.5 |
| 18 |       0 |   18.5 |
| 19 |       0 |   19.5 |
| 20 |       0 |   20.5 |
| 21 |       0 |   21.5 |
| 22 |       0 |   22.5 |
| 23 |       0 |   23.5 |
| 24 |       0 |   24.5 |
| 25 |       0 |   25.5 |
| 26 |       0 |   26.5 |
| 27 |       0 |   27.5 |
| 28 |       0 |   28.5 |
| 29 |       0 |   29.5 |
| 30 |       0 |   30.5 |
| 31 |       0 |   31.5 |
| 32 |       0 |   32.5 |
| 33 |       0 |   33.5 |
| 34 |       0 |   34.5 |
| 35 |       0 |   35.5 |
| 36 |       0 |   36.5 |
| 37 |       0 |   37.5 |
| 38 |       0 |   38.5 |
| 39 |       0 |   39.5 |
| 40 |       0 |   40.5 |
| 41 |       0 |   41.5 |
| 42 |       0 |   42.5 |
| 43 |       0 |   43.5 |
| 44 |       0 |   44.5 |
| 45 |       0 |   45.5 |
| 46 |       0 |   46.5 |
| 47 |       0 |   47.5 |
| 48 |       0 |   48.5 |
| 49 |       0 |   49.5 |
| 50 |       0 |   50.5 |
| 51 |       0 |   51.5 |
| 52 |       0 |   52.5 |
| 53 |       0 |   53.5 |
| 54 |       0 |   54.5 |
| 55 |       0 |   55.5 |
| 56 |       0 |   56.5 |
| 57 |       0 |   57.5 |
| 58 |       0 |   58.5 |
| 59 |       0 |   59.5 |
| 60 |       0 |   60.5 |
| 61 |       0 |   61.5 |
| 62 |       0 |   62.5 |
| 63 |       0 |   63.5 |
| 64 |       0 |   64.5 |
| 65 |       0 |   65.5 |
| 66 |       0 |   66.5 |
| 67 |       0 |   67.5 |
| 68 |       0 |   68.5 |
| 69 |       0 |   69.5 |
| 70 |       0 |   70.5 |
| 71 |       0 |   71.5 |
| 72 |       0 |   72.5 |
| 73 |       0 |   73.5 |
| 74 |       0 |   74.5 |
| 75 |       0 |   75.5 |
| 76 |       0 |   76.5 |
| 77 |       0 |   77.5 |
| 78 |       0 |   78.5 |
| 79 |       0 |   79.5 |
| 80 |       0 |   80.5 |
| 81 |       0 |   81.5 |
| 82 |       0 |   82.5 |
| 83 |       0 |   83.5 |
| 84 |       0 |   84.5 |
| 85 |       0 |   85.5 |
| 86 |       0 |   86.5 |
| 87 |       0 |   87.5 |
| 88 |       0 |   88.5 |
| 89 |       0 |   89.5 |
| 90 |       0 |   90.5 |
| 91 |       0 |   91.5 |
| 92 |       0 |   92.5 |
| 93 |       0 |   93.5 |
| 94 |       0 |   94.5 |
| 95 |       0 |   95.5 |
| 96 |       0 |   96.5 |
| 97 |       0 |   97.5 |
| 98 |       0 |   98.5 |
| 99 |       0 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |    1042 |    9.5 |
| 10 |    1053 |   10.5 |
| 11 |    1004 |   11.5 |
| 12 |    1070 |   12.5 |
| 13 |     547 |   13.5 |
| 14 |       0 |   14.5 |
| 15 |       0 |   15.5 |
| 16 |       0 |   16.5 |
| 17 |     111 |   17.5 |
| 18 |     327 |   18.5 |
| 19 |     567 |   19.5 |
| 20 |     800 |   20.5 |
| 21 |     984 |   21.5 |
| 22 |     831 |   22.5 |
| 23 |     566 |   23.5 |
| 24 |     356 |   24.5 |
| 25 |     131 |   25.5 |
| 26 |      59 |   26.5 |
| 27 |     166 |   27.5 |
| 28 |     308 |   28.5 |
| 29 |     488 |   29.5 |
| 30 |     675 |   30.5 |
| 31 |     753 |   31.5 |
| 32 |     726 |   32.5 |
| 33 |     648 |   33.5 |
| 34 |     403 |   34.5 |
| 35 |     264 |   35.5 |
| 36 |     205 |   36.5 |
| 37 |     186 |   37.5 |
| 38 |     302 |   38.5 |
| 39 |     441 |   39.5 |
| 40 |     571 |   40.5 |
| 41 |     681 |   41.5 |
| 42 |     635 |   42.5 |
| 43 |     581 |   43.5 |
| 44 |     487 |   44.5 |
| 45 |     353 |   45.5 |
| 46 |     275 |   46.5 |
| 47 |     244 |   47.5 |
| 48 |     303 |   48.5 |
| 49 |     396 |   49.5 |
| 50 |     488 |   50.5 |
| 51 |     614 |   51.5 |
| 52 |     608 |   52.5 |
| 53 |     559 |   53.5 |
| 54 |     472 |   54.5 |
| 55 |     397 |   55.5 |
| 56 |     353 |   56.5 |
| 57 |     319 |   57.5 |
| 58 |     309 |   58.5 |
| 59 |     384 |   59.5 |
| 60 |     500 |   60.5 |
| 61 |     481 |   61.5 |
| 62 |     549 |   62.5 |
| 63 |     544 |   63.5 |
| 64 |     476 |   64.5 |
| 65 |     417 |   65.5 |
| 66 |     375 |   66.5 |
| 67 |     356 |   67.5 |
| 68 |     372 |   68.5 |
| 69 |     408 |   69.5 |
| 70 |     408 |   70.5 |
| 71 |     471 |   71.5 |
| 72 |     507 |   72.5 |
| 73 |     511 |   73.5 |
| 74 |     442 |   74.5 |
| 75 |     455 |   75.5 |
| 76 |     387 |   76.5 |
| 77 |     385 |   77.5 |
| 78 |     404 |   78.5 |
| 79 |     391 |   79.5 |
| 80 |     407 |   80.5 |
| 81 |     470 |   81.5 |
| 82 |     465 |   82.5 |
| 83 |     465 |   83.5 |
| 84 |     468 |   84.5 |
| 85 |     421 |   85.5 |
| 86 |     412 |   86.5 |
| 87 |     396 |   87.5 |
| 88 |     384 |   88.5 |
| 89 |     405 |   89.5 |
| 90 |     430 |   90.5 |
| 91 |     458 |   91.5 |
| 92 |     440 |   92.5 |
| 93 |     451 |   93.5 |
| 94 |     415 |   94.5 |
| 95 |     417 |   95.5 |
| 96 |     318 |   96.5 |
| 97 |     250 |   97.5 |
| 98 |     156 |   98.5 |
| 99 |      42 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |     570 |    9.5 |
| 10 |     661 |   10.5 |
| 11 |     800 |   11.5 |
| 12 |    1131 |   12.5 |
| 13 |    1537 |   13.5 |
| 14 |       0 |   14.5 |
| 15 |       0 |   15.5 |
| 16 |       0 |   16.5 |
| 17 |      30 |   17.5 |
| 18 |     119 |   18.5 |
| 19 |     201 |   19.5 |
| 20 |     358 |   20.5 |
| 21 |     709 |   21.5 |
| 22 |     804 |   22.5 |
| 23 |     837 |   23.5 |
| 24 |     801 |   24.5 |
| 25 |     784 |   25.5 |
| 26 |       9 |   26.5 |
| 27 |      46 |   27.5 |
| 28 |      71 |   28.5 |
| 29 |     145 |   29.5 |
| 30 |     267 |   30.5 |
| 31 |     392 |   31.5 |
| 32 |     574 |   32.5 |
| 33 |     734 |   33.5 |
| 34 |     744 |   34.5 |
| 35 |     606 |   35.5 |
| 36 |     565 |   36.5 |
| 37 |     399 |   37.5 |
| 38 |     136 |   38.5 |
| 39 |     101 |   39.5 |
| 40 |     181 |   40.5 |
| 41 |     269 |   41.5 |
| 42 |     404 |   42.5 |
| 43 |     537 |   43.5 |
| 44 |     609 |   44.5 |
| 45 |     681 |   45.5 |
| 46 |     604 |   46.5 |
| 47 |     461 |   47.5 |
| 48 |     394 |   48.5 |
| 49 |     287 |   49.5 |
| 50 |     190 |   50.5 |
| 51 |     211 |   51.5 |
| 52 |     303 |   52.5 |
| 53 |     378 |   53.5 |
| 54 |     491 |   54.5 |
| 55 |     516 |   55.5 |
| 56 |     586 |   56.5 |
| 57 |     605 |   57.5 |
| 58 |     480 |   58.5 |
| 59 |     381 |   59.5 |
| 60 |     295 |   60.5 |
| 61 |     284 |   61.5 |
| 62 |     247 |   62.5 |
| 63 |     279 |   63.5 |
| 64 |     378 |   64.5 |
| 65 |     441 |   65.5 |
| 66 |     515 |   66.5 |
| 67 |     524 |   67.5 |
| 68 |     529 |   68.5 |
| 69 |     505 |   69.5 |
| 70 |     410 |   70.5 |
| 71 |     327 |   71.5 |
| 72 |     299 |   72.5 |
| 73 |     272 |   73.5 |
| 74 |     319 |   74.5 |
| 75 |     366 |   75.5 |
| 76 |     410 |   76.5 |
| 77 |     491 |   77.5 |
| 78 |     486 |   78.5 |
| 79 |     497 |   79.5 |
| 80 |     488 |   80.5 |
| 81 |     385 |   81.5 |
| 82 |     334 |   82.5 |
| 83 |     303 |   83.5 |
| 84 |     308 |   84.5 |
| 85 |     358 |   85.5 |
| 86 |     344 |   86.5 |
| 87 |     437 |   87.5 |
| 88 |     418 |   88.5 |
| 89 |     482 |   89.5 |
| 90 |     461 |   90.5 |
| 91 |     469 |   91.5 |
| 92 |     406 |   92.5 |
| 93 |     335 |   93.5 |
| 94 |     332 |   94.5 |
| 95 |     337 |   95.5 |
| 96 |     274 |   96.5 |
| 97 |     275 |   97.5 |
| 98 |     215 |   98.5 |
| 99 |     105 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |       0 |    8.5 |
|  9 |     129 |    9.5 |
| 10 |     161 |   10.5 |
| 11 |     220 |   11.5 |
| 12 |     282 |   12.5 |
| 13 |     431 |   13.5 |
| 14 |      76 |   14.5 |
| 15 |      93 |   15.5 |
| 16 |     132 |   16.5 |
| 17 |     149 |   17.5 |
| 18 |     362 |   18.5 |
| 19 |      64 |   19.5 |
| 20 |      82 |   20.5 |
| 21 |      88 |   21.5 |
| 22 |     128 |   22.5 |
| 23 |     167 |   23.5 |
| 24 |     211 |   24.5 |
| 25 |     273 |   25.5 |
| 26 |     100 |   26.5 |
| 27 |     101 |   27.5 |
| 28 |     130 |   28.5 |
| 29 |     115 |   29.5 |
| 30 |     147 |   30.5 |
| 31 |     170 |   31.5 |
| 32 |     281 |   32.5 |
| 33 |      93 |   33.5 |
| 34 |     117 |   34.5 |
| 35 |     115 |   35.5 |
| 36 |     130 |   36.5 |
| 37 |     134 |   37.5 |
| 38 |     107 |   38.5 |
| 39 |     130 |   39.5 |
| 40 |     183 |   40.5 |
| 41 |     203 |   41.5 |
| 42 |     133 |   42.5 |
| 43 |     126 |   43.5 |
| 44 |     132 |   44.5 |
| 45 |     140 |   45.5 |
| 46 |     121 |   46.5 |
| 47 |     126 |   47.5 |
| 48 |     133 |   48.5 |
| 49 |     155 |   49.5 |
| 50 |     236 |   50.5 |
| 51 |     117 |   51.5 |
| 52 |     130 |   52.5 |
| 53 |     111 |   53.5 |
| 54 |     107 |   54.5 |
| 55 |     114 |   55.5 |
| 56 |     111 |   56.5 |
| 57 |     128 |   57.5 |
| 58 |     148 |   58.5 |
| 59 |     128 |   59.5 |
| 60 |     160 |   60.5 |
| 61 |     178 |   61.5 |
| 62 |     147 |   62.5 |
| 63 |     113 |   63.5 |
| 64 |     140 |   64.5 |
| 65 |     141 |   65.5 |
| 66 |     133 |   66.5 |
| 67 |     151 |   67.5 |
| 68 |     138 |   68.5 |
| 69 |     133 |   69.5 |
| 70 |     134 |   70.5 |
| 71 |     127 |   71.5 |
| 72 |     183 |   72.5 |
| 73 |     117 |   73.5 |
| 74 |     127 |   74.5 |
| 75 |     129 |   75.5 |
| 76 |     116 |   76.5 |
| 77 |     137 |   77.5 |
| 78 |     140 |   78.5 |
| 79 |     139 |   79.5 |
| 80 |     125 |   80.5 |
| 81 |     150 |   81.5 |
| 82 |     128 |   82.5 |
| 83 |     116 |   83.5 |
| 84 |     137 |   84.5 |
| 85 |     156 |   85.5 |
| 86 |     125 |   86.5 |
| 87 |     111 |   87.5 |
| 88 |      98 |   88.5 |
| 89 |     123 |   89.5 |
| 90 |     145 |   90.5 |
| 91 |     129 |   91.5 |
| 92 |     128 |   92.5 |
| 93 |     116 |   93.5 |
| 94 |     117 |   94.5 |
| 95 |     102 |   95.5 |
| 96 |     103 |   96.5 |
| 97 |      91 |   97.5 |
| 98 |      90 |   98.5 |
| 99 |      35 |   99.5 |
+----+---------+--------+
+----+---------+--------+
|    |   count |   xpos |
|----+---------+--------|
|  0 |       0 |    0.5 |
|  1 |       0 |    1.5 |
|  2 |       0 |    2.5 |
|  3 |       0 |    3.5 |
|  4 |       0 |    4.5 |
|  5 |       0 |    5.5 |
|  6 |       0 |    6.5 |
|  7 |       0 |    7.5 |
|  8 |    1175 |    8.5 |
|  9 |       0 |    9.5 |
| 10 |       0 |   10.5 |
| 11 |       0 |   11.5 |
| 12 |       0 |   12.5 |
| 13 |     861 |   13.5 |
| 14 |       0 |   14.5 |
| 15 |       0 |   15.5 |
| 16 |     289 |   16.5 |
| 17 |       0 |   17.5 |
| 18 |     679 |   18.5 |
| 19 |       0 |   19.5 |
| 20 |     347 |   20.5 |
| 21 |      96 |   21.5 |
| 22 |       0 |   22.5 |
| 23 |      34 |   23.5 |
| 24 |      31 |   24.5 |
| 25 |     633 |   25.5 |
| 26 |     344 |   26.5 |
| 27 |       0 |   27.5 |
| 28 |     160 |   28.5 |
| 29 |       6 |   29.5 |
| 30 |     201 |   30.5 |
| 31 |      47 |   31.5 |
| 32 |     620 |   32.5 |
| 33 |     147 |   33.5 |
| 34 |      60 |   34.5 |
| 35 |      14 |   35.5 |
| 36 |     140 |   36.5 |
| 37 |     192 |   37.5 |
| 38 |     199 |   38.5 |
| 39 |       8 |   39.5 |
| 40 |     302 |   40.5 |
| 41 |     318 |   41.5 |
| 42 |     146 |   42.5 |
| 43 |     108 |   43.5 |
| 44 |     238 |   44.5 |
| 45 |     149 |   45.5 |
| 46 |      65 |   46.5 |
| 47 |      48 |   47.5 |
| 48 |     238 |   48.5 |
